#Table1
ra,dec,u,g,r,i,z
132.749561455902,11.3397034394407,24.18047,22.72143,21.7557,21.79581,21.55307
132.753012585953,11.3313276255932,26.42171,22.40257,21.06303,20.73041,20.278
132.75691852396,11.3191450042948,23.6443,21.52405,19.95566,19.39305,19.05165
132.730655878867,11.415291394131,22.29494,21.69479,20.75061,20.31247,20.66677
132.723309543789,11.4463910477629,22.60521,22.42565,22.09983,21.50648,21.19028
132.749022325898,11.3572707937379,23.26836,22.91405,21.81822,20.69621,20.16572
132.758141399483,11.332822687911,23.32164,21.77135,20.14156,19.14429,18.58713
132.727373207123,11.4506566749334,25.69409,22.46066,20.80175,19.60762,18.9541
132.725267955669,11.4493948895934,22.03611,20.80469,19.75884,19.43978,19.25312
132.751544951174,11.356592274723,23.88461,22.32127,21.55127,20.17449,19.38679
132.742662874404,11.3892437118005,21.88571,22.3209,21.37131,21.46781,21.30095
132.737282821698,11.411910681542,22.71694,21.89809,20.90362,20.41447,20.12615
132.970386255029,11.4826944143817,23.71308,24.70674,22.58478,22.44127,22.16402
132.953347398228,11.5170583423824,16.78777,15.61624,15.23092,15.12298,15.06551
132.948310073526,11.5152585407376,23.10052,20.84136,19.53665,18.91428,18.46244
132.965719158699,11.5000943831364,15.19989,14.09056,12.81837,14.09016,13.58925
132.969311202293,11.5130261491643,15.34397,14.15124,14.56274,13.6439,13.59368
132.974304777668,11.5186536939615,16.19406,14.60787,14.96666,14.16376,13.32718
132.970302437366,11.4991113532584,15.23192,15.34779,14.97385,14.81292,13.47716
132.96174623669,11.5033164771488,17.87016,16.09974,15.41385,15.19866,15.0623
132.963962721098,11.518120324604,22.54061,19.71382,18.24845,17.47652,17.02323
132.960516524811,11.511983297628,21.69369,19.32339,18.05708,17.56475,17.23842
132.969002256291,11.50448755505,22.57675,22.55318,21.34122,19.9651,19.36955
132.962002158921,11.5052808730309,24.3078,22.33731,21.55082,21.19976,20.67348
132.962293222377,11.519640595466,24.55195,22.84491,22.01221,21.33091,20.60899
132.963722393254,11.5076252153992,23.598,22.43013,22.4498,21.71542,21.22397
132.958863681855,11.5152115771037,23.34262,23.23927,22.33517,22.81385,21.99576
133.006343077591,11.3896078536058,15.54137,14.98528,13.05562,12.8943,13.22831
132.997976771379,11.3909804275679,25.64956,21.09485,19.55436,19.06073,18.71575
133.005136475406,11.3942402554702,23.98891,22.693,22.3052,22.22289,20.12083
133.016698850426,11.3898255590857,17.06465,15.64579,15.16457,15.01807,14.96408
132.996644144367,11.4639471785578,18.06491,16.96869,16.57782,16.43541,16.38126
133.002443270706,11.4580626990135,17.29365,16.21196,15.86872,15.76338,15.73959
132.985073725859,11.5307805816392,15.59803,14.73328,13.30412,13.17709,13.41974
133.029766544979,11.4043776239886,18.43598,16.5051,15.80901,15.59371,15.4796
133.027380291993,11.4051616165871,24.26066,23.91378,22.37135,21.42719,22.56195
133.032521339007,11.4201968348003,16.84026,15.31533,14.75047,14.53394,14.42
133.056672717944,11.3933597293376,16.25311,14.86183,14.39875,14.25502,14.20412
133.064945504121,11.3836427836889,17.13542,15.26197,14.5106,14.24157,14.09981
133.056994809808,11.3764709064281,17.1748,15.85379,15.41801,15.27701,15.23041
133.052337368678,11.3959828375007,22.26741,18.86075,17.41096,16.54316,16.05189
133.055383495915,11.3876781755046,22.37328,19.70289,18.5099,18.04183,17.80392
133.053404004967,11.3715835219525,24.49627,21.12771,19.77149,18.4762,17.79409
133.064394343444,11.3428572686603,23.98752,20.84833,19.54266,18.86407,18.59797
133.056133460298,11.3873123330677,19.74277,18.6442,18.13811,17.75114,17.74114
133.052287642038,11.3969950314509,24.52305,23.60933,21.83533,19.87726,18.89974
133.062397526147,11.3415151134566,23.5265,22.38599,21.2164,21.21339,20.6474
133.060098703338,11.3722152796341,22.35819,22.47643,21.85432,21.52159,20.6412
133.055491610858,11.3659164996239,23.81322,22.13272,18.5467,17.83567,21.54869
133.052680278935,11.3702592969829,24.45651,24.3173,22.13906,21.14468,21.11661
133.057562370353,11.363991059849,23.65538,24.14562,22.35056,21.18232,21.17714
133.054670364765,11.3837555818006,23.32508,23.64836,22.5805,21.60691,22.28627
133.059888849234,11.3479481964741,25.22838,24.2583,21.64371,21.31437,22.01379
133.056253798174,11.360764969363,24.8686,23.74274,22.41865,21.58492,22.6435
133.058545303986,11.3809972005543,23.05233,24.24216,22.70423,21.95566,22.69779
133.061803284683,11.3591158929884,24.00282,23.82302,23.79737,22.01608,22.50364
133.056957453629,11.3828825703117,23.68611,24.11517,22.81238,22.93753,22.34135
133.048841883622,11.3732374981071,25.38292,24.95811,22.76392,22.44032,22.2394
133.05618754332,11.36972280006,24.3826,23.89308,22.87805,22.17169,23.22373
133.049317093261,11.3938525151097,25.64945,23.94012,22.8712,22.12504,21.55647
133.055960476909,11.3724240125985,24.72548,25.36895,22.91486,22.4451,22.10918
133.037727876576,11.4671004351249,15.31624,13.78212,14.24488,13.0175,13.30642
133.04278996812,11.4632330808551,21.66297,20.56067,20.71068,20.83764,21.43798
133.042336234954,11.4638036537846,24.37297,23.69123,22.36863,21.67811,21.95593
133.03314907142,11.4690314107744,24.49628,23.31274,22.17739,21.9059,21.94596
133.041860240692,11.508378221548,17.18708,15.92582,15.52659,15.40775,15.36999
133.086950015765,11.3631047112932,15.1335,12.12564,11.10188,10.81321,12.94753
133.087988646752,11.3653117764931,23.22701,18.37756,16.21794,15.19883,25.33478
133.082004862926,11.3654374477675,24.63466,25.11438,21.36031,20.27564,22.82691
133.086621148285,11.356122821096,23.48807,23.6251,22.84032,21.72198,21.49607
133.056474812519,11.469326373445,16.87436,15.44093,14.97112,14.83089,14.79282
133.06353270611,11.4503101956269,15.30484,13.26879,12.38967,12.21989,13.38404
133.059578060159,11.451169997579,24.27801,20.46339,19.00788,18.17328,17.76392
133.060318652308,11.4451087905619,24.10946,22.71607,21.0936,20.08707,19.84009
133.073570171705,11.4476517786011,21.5451,20.99305,19.80688,19.32666,19.05703
133.060975538004,11.4487736206884,24.24995,22.79301,21.43146,20.20778,20.10132
133.066773647281,11.447202342371,23.80188,23.06694,21.95257,21.54181,21.90378
133.070962640357,11.4475002755196,24.91324,23.9288,23.05858,22.14295,23.02598
133.078826282885,11.397097927685,16.96426,15.40843,14.87275,14.71004,14.65564
133.078016341157,11.3992956162415,19.69131,17.0622,15.83015,15.37123,15.11758
133.045705465629,11.5303050506599,15.42894,11.87399,10.62305,10.29696,10.83801
133.044602285391,11.536448328576,24.37063,25.24008,23.09196,21.55466,20.74523
133.037601937261,11.5294479189736,25.14964,24.7307,23.09809,21.35053,20.98872
133.081032204027,11.4239197379973,18.19102,16.55064,15.92942,15.71731,15.61362
133.090152886998,11.4003747578239,17.86283,15.64876,14.78723,14.50886,14.3647
133.076980221139,11.4469456837104,16.92864,15.7361,15.33479,15.21437,15.17734
133.076426932926,11.4444158462247,23.99706,23.22974,21.50827,20.11421,19.39432
133.066566343937,11.4835363852723,18.894,17.75565,17.34737,17.2155,17.1935
133.06140616734,11.5187001185968,14.93355,13.40258,12.80233,12.72588,13.17138
133.067807066675,11.5176498003277,18.51286,17.34805,16.94785,16.83152,16.78303
133.06589429716,11.5183034090658,24.32362,24.86233,23.6068,19.87564,19.43528
133.064077813516,11.5252387504543,25.04003,23.02958,22.32073,21.92378,21.29796
133.083460170666,11.4600560564304,15.68347,13.35666,12.29479,12.03132,13.1353
133.089107073894,11.466410844706,20.8526,18.15036,16.81701,16.2937,16.01025
133.078805840249,11.464320597809,23.98435,22.28142,20.82582,19.46952,18.85811
133.092250269701,11.4578320729871,23.70018,24.09187,21.89094,21.00175,21.16698
133.106572332894,11.3823096712326,17.10637,15.31069,14.65327,14.42994,14.30974
133.108135335421,11.3843920107015,22.68638,22.48943,21.58335,21.23218,20.96089
133.099493727928,11.4076558999998,17.14663,15.94539,15.54731,15.41584,15.38103
133.111303975747,11.3749650604333,16.18615,14.73288,14.24723,14.09323,14.03492
133.111705164066,11.3789178890907,23.65326,23.52053,23.40203,21.86769,21.20075
133.072730677885,11.5113965511509,16.35432,14.75597,14.18268,13.99995,13.90341
133.105950799772,11.405356561587,17.67761,16.19569,15.66785,15.48508,15.40301
133.107657711682,11.407600790202,25.35076,24.51092,21.53032,20.86678,20.62137
132.951399471245,11.4028815621554,21.40285,18.84752,17.44302,16.5498,16.0393
132.952270628514,11.4603336900047,21.76007,18.90843,17.47988,16.75278,16.31941
132.964974091746,11.436927388676,21.76691,19.05506,17.94601,17.5372,17.27815
132.972471068639,11.4168566812873,21.66758,19.40192,18.46916,18.14673,17.94441
132.980227920926,11.3950897456895,21.88654,19.42744,18.29754,17.85283,17.56661
132.948631535566,11.5121604477091,20.73598,18.71471,17.9149,17.61756,17.43464
132.950100708006,11.512505388671,23.28339,22.94861,21.21003,20.50765,19.93802
132.978984291521,11.4093051568807,21.03,19.35295,18.68271,18.45,18.34548
132.967630609817,11.4495973378609,21.57961,19.33504,18.26075,17.87017,17.60304
133.002867808102,11.3605389773601,20.23907,18.97469,18.49438,18.34976,18.22775
133.00273141457,11.3588340284104,23.73132,22.55415,22.25949,21.44514,21.91035
132.97465765891,11.4632482441297,22.07368,19.57117,18.35249,17.84959,17.59326
132.978823426582,11.4917024174052,19.84721,17.17455,15.81094,15.13852,14.73467
132.968637414007,11.5306964697127,21.26292,18.36402,16.94314,16.19862,15.75724
132.976980821767,11.5068284319702,19.59543,18.55582,18.30696,18.23424,18.21319
133.02953878117,11.3441194129759,20.53127,19.61107,19.2763,19.19708,19.20555
133.020799812848,11.383100223577,20.61147,17.91033,16.59003,16.04999,15.7285
132.994969337992,11.4885731231408,21.08014,18.723,17.68628,17.26273,17.00027
133.022814811745,11.4123051558076,21.4366,18.77827,17.36858,16.70685,16.30923
133.021618755371,11.4107228827015,24.41351,24.41077,23.19178,21.76352,21.47824
133.011969890871,11.4679295850828,19.78815,17.64704,16.73088,16.39988,16.21093
132.739927282205,11.4058373255461,23.42036,22.61488,21.34718,20.19864,19.6131
132.751581144621,11.3676872564126,22.67321,22.17892,20.96357,20.41935,20.23659
132.735521210909,11.4255365534234,24.9804,22.54151,21.35339,20.70073,20.15023
132.753191518488,11.3645610275814,23.51051,22.38056,23.56565,23.16788,21.63829
132.733788487312,11.444360306312,23.27581,21.94477,21.9092,21.25602,21.76141
132.775283535122,11.302529608691,22.65125,22.17617,21.11011,20.71401,20.11092
132.753219458087,11.3841266463173,23.95687,21.07661,19.82994,19.39198,19.08916
132.740169611783,11.43173831079,22.41959,22.63097,22.01795,22.39305,23.03361
132.735342452237,11.451673507196,22.74424,21.6071,20.96835,20.8112,20.51284
132.754469900604,11.3898690074595,24.54671,22.80174,21.35054,19.95288,19.12473
132.770317589821,11.3368660390062,22.42692,21.31908,20.14473,19.73071,19.24667
132.732918817785,11.4686467559621,23.92393,22.1047,21.30918,20.82477,21.2752
132.780130143669,11.3061481274365,24.85674,22.6137,21.88018,21.42476,21.43814
132.756348725049,11.3968999350789,23.20576,22.26253,21.18584,19.60776,18.65274
132.75545978754,11.3982840137192,22.51504,21.22073,20.74135,20.43947,20.36575
132.74490746447,11.4466118281621,25.25373,25.06826,23.65834,21.76555,21.03572
132.745046154509,11.4456112346264,23.87361,22.88349,22.1255,21.87963,22.20119
132.764355913173,11.3847336096708,23.1499,22.15988,20.68968,20.05068,19.68418
132.754634405279,11.4296030359999,21.98742,21.02697,19.79977,19.25031,18.87606
132.757128282196,11.422341393553,23.97532,23.19999,21.94593,21.8254,21.90662
132.771944005238,11.3786462287177,23.45911,20.95489,20.01112,19.66875,19.43965
132.772854832809,11.3768830005253,24.26048,21.75199,19.92431,19.15433,18.69354
132.771856634872,11.3758722489862,25.93562,22.94607,21.60185,20.76674,20.16186
132.774362569219,11.3706951177345,23.38545,22.12278,20.40192,19.83621,19.35683
132.774506923618,11.3727270408142,24.70994,23.14068,21.948,21.11951,21.18049
132.775847822709,11.3691454146326,22.49096,21.20547,20.79616,20.82695,21.16859
132.774059528217,11.3719898123988,24.63421,24.32031,21.42914,20.99357,20.22648
132.790529408604,11.3250079598879,22.56851,21.60924,20.60131,20.39086,19.7475
132.764512086586,11.4167467502887,24.87093,21.38143,19.92429,19.4343,19.16904
132.765763122381,11.4123175901861,23.23374,22.24356,20.95127,19.48039,18.70964
132.783010029817,11.3554913331834,22.83371,22.4847,21.30337,21.12804,20.19876
132.785798695535,11.3490536274525,23.07117,22.42394,21.39401,20.81484,20.47728
132.788362873407,11.3409249297488,25.15194,22.20689,20.96085,20.55678,20.31157
132.788515076903,11.3416564050378,23.68091,24.09043,22.19053,21.39464,21.59987
132.759208455077,11.4541038120232,22.05853,21.32843,20.8892,20.66016,21.11509
132.790837713161,11.3439371054708,22.9533,22.41405,21.41975,21.73057,21.13883
132.779508478586,11.3881738324246,26.72607,22.67805,21.22443,19.79405,19.06343
132.760677667368,11.4592322165388,22.70203,22.3689,21.64786,21.72277,21.10052
132.763992431777,11.4544681457535,22.37859,21.06752,20.66425,20.46812,20.45118
132.802825003764,11.3244250920872,21.62718,21.11466,19.88917,19.44015,19.10069
132.774217873657,11.4235313199947,23.4159,21.55743,20.83943,20.68756,20.42546
132.771011081248,11.4348739372186,22.8128,22.25838,21.51314,21.19356,21.40044
132.771134455902,11.4408757980356,23.2069,22.66992,21.80634,21.53141,21.83537
132.783605145127,11.398162005783,23.83346,21.11834,19.98574,19.61414,19.48581
132.789263958385,11.3861526421672,25.25455,22.12197,20.79356,20.28611,19.92216
132.782013603226,11.4175599245557,24.59616,21.66632,20.37126,19.56839,19.11687
132.805293283623,11.3373828758553,24.67759,22.87613,22.11696,21.91656,21.63116
132.80092906045,11.3546659688479,22.34562,21.84383,20.86568,20.24779,19.79041
132.771144262058,11.4634742815451,22.1147,21.94125,21.06272,20.53062,20.25489
132.779588916577,11.4353988958101,23.45362,21.54913,20.37144,19.85189,19.73151
132.818985782105,11.3081350536449,23.47981,21.60576,20.4937,20.10125,19.99976
132.818758247293,11.3068165994181,24.8467,23.91738,21.84577,20.18448,19.65655
132.811821048262,11.3339286746952,22.78589,22.1103,21.19415,20.6929,20.35975
132.80044313202,11.3749416556468,24.72397,22.98646,21.53073,20.29529,19.66008
132.626145309228,11.4331780684368,23.68882,22.54201,20.76336,20.02964,19.60091
132.629033787649,11.4316595190605,22.70315,23.95143,22.54737,21.82502,21.84596
132.662811755763,11.3219444194815,25.28669,26.38569,22.46972,21.92481,21.66211
132.647980405766,11.3742928104636,22.96012,22.5485,22.00859,21.56834,21.72971
132.65415918745,11.3553840181437,23.68976,23.31009,22.05854,21.7282,21.10276
132.634084557957,11.4265105339484,22.83318,23.67313,22.43624,21.5332,21.37863
132.631923638454,11.4371666500291,23.11684,22.99887,22.62856,22.31712,21.99139
132.659484878014,11.3513256313514,23.05273,23.43111,22.08832,21.31458,21.20774
132.658075261835,11.3579392342852,24.82294,24.0576,22.63128,21.92305,21.71638
132.675445489632,11.3051188135121,24.43502,23.65255,21.86259,21.50307,20.71801
132.646278870094,11.4067988433157,24.04267,23.60712,22.36303,21.41572,21.34173
132.651910114433,11.3888334817094,24.2227,23.82883,22.07581,21.35952,21.16974
132.638390321307,11.435917733034,25.30268,23.46748,22.35516,22.25473,22.7243
132.649243739176,11.4081309605589,24.90076,22.56174,21.9607,22.2131,21.9554
132.648524252593,11.4119472659059,26.38647,22.69775,21.58735,21.62341,21.96459
132.660628385215,11.3718388885492,25.86597,22.69677,21.49868,20.51516,19.85108
132.656903983435,11.3991970714739,25.24933,23.4718,21.81487,21.03374,20.35291
132.684807405599,11.3040117339054,24.22853,22.87454,21.75112,20.8258,20.44763
132.649177448501,11.4365537662667,23.92887,23.14582,21.66846,20.76647,19.94271
132.664972298382,11.3831185266237,24.38184,23.58562,22.03693,21.3874,20.55633
132.685595435797,11.3136080419503,23.89796,23.38192,22.11537,21.33849,21.01233
132.648417712,11.4432053310747,26.11759,23.88287,21.90914,21.14959,20.60164
132.656618597701,11.4152706629825,24.79919,23.43189,22.43858,22.78127,22.93701
132.694878598704,11.3056929904081,24.37239,23.69751,22.28,21.97663,21.51035
132.687052873134,11.3349939677606,25.35422,23.00885,22.2484,21.96234,22.41148
132.676983178976,11.3842046695255,25.41955,24.19018,21.6687,21.14092,20.31185
132.69424744583,11.3349769063099,24.3835,22.83909,20.96805,20.41191,19.83057
132.696509037635,11.335521569575,25.32735,24.59454,22.1681,21.69448,20.93075
132.701711513294,11.3206458437064,26.24485,23.77811,21.77866,21.20561,21.17121
132.669213505226,11.4436748310012,25.13941,22.5746,21.8218,21.62969,21.59981
132.711882497873,11.3074505032991,22.66095,22.68107,20.78928,20.07161,19.70348
132.709638963163,11.3204576037544,22.76841,23.07547,21.37917,20.91359,20.2828
132.70066932691,11.3538306901465,23.91314,23.18835,21.65193,20.60562,20.23846
132.695155847594,11.3730889225124,23.83374,23.71136,22.08722,21.26162,20.49591
132.681615689694,11.4272648838512,24.56181,24.10013,22.26635,21.7338,21.88702
132.685994558264,11.416892711842,22.84112,23.34562,22.67718,22.06257,21.90455
132.709831635319,11.3529079883301,22.83782,23.33062,22.52241,21.70524,21.2593
132.684624484616,11.4479652656452,25.35304,23.79323,22.24811,21.15657,20.07297
132.702729121124,11.3886848692774,23.57849,23.9079,22.01817,21.06003,20.13934
132.713126099752,11.3561365898989,24.62743,22.36518,21.19769,20.54686,20.72673
132.7115601216,11.3624500991642,22.24841,23.29928,22.41633,22.62147,21.99061
132.709221366076,11.3627225415121,23.87574,23.48372,22.65638,21.75911,22.07421
132.716546732863,11.3461039845841,23.25191,22.97872,21.76489,20.77901,20.43068
132.716277537586,11.350347174975,24.52675,23.4279,21.96854,20.91461,19.97055
132.711224773276,11.3676319328407,22.21544,22.95474,21.63795,21.77863,21.65402
132.728787585778,11.3178274777166,23.51877,23.08432,22.10915,21.62534,21.72861
132.708998901765,11.3929034677432,25.13081,23.34458,22.27857,22.00451,22.9297
132.694486827284,11.4392951691413,25.72339,22.7388,22.39089,20.5292,19.68563
132.695751250729,11.4394458774681,24.46419,22.8912,21.31861,20.45396,20.56788
132.694560396539,11.4397539609748,22.83332,23.80724,22.42484,21.15352,20.64882
132.719810362297,11.3587797322573,22.94596,22.38768,21.73357,21.58498,21.22196
132.692670449619,11.4558875961542,25.44933,23.61414,22.15085,21.65568,22.03886
132.725712955251,11.3470468488028,24.7405,22.948,21.84161,21.32388,20.63538
132.718255433775,11.383910945033,23.82953,21.98826,20.30578,19.49906,18.97262
132.741941686457,11.3158832616459,25.0907,24.3397,22.30824,20.83528,20.0103
132.704700904507,11.4465464570547,23.07121,23.29391,21.61335,20.92383,20.61726
132.732857293355,11.353051644071,24.74797,24.23537,21.5434,20.68751,20.09783
132.739121489982,11.3391361418624,25.86625,23.52033,21.25318,20.54725,20.02379
132.710505095465,11.4483412599565,23.69276,24.18878,22.5682,22.03154,21.80194
133.013651060816,11.4667321833095,23.32964,22.61419,21.32753,20.85802,20.64925
133.010327043765,11.4666484196154,24.7774,22.51586,21.93012,21.63836,21.57591
133.009134251802,11.4887676175255,20.68251,19.70976,19.36058,19.23572,19.21373
133.01057900555,11.4877987367532,22.94625,22.54178,21.00804,20.39937,19.89388
133.041450038135,11.379632769206,19.60696,18.54503,18.13187,17.9807,17.93931
133.052213937699,11.3470061353268,21.36293,19.00269,17.81858,17.36682,17.08563
133.051538809846,11.3455146457616,25.06512,23.34053,21.26647,20.46657,22.09042
133.037227997435,11.4349025884331,20.08906,19.6129,19.54926,19.5236,19.25171
133.021163001238,11.5217660706389,20.10078,19.08076,18.83425,18.74761,18.79893
133.019559188475,11.522195088344,21.87972,22.30224,22.04406,21.54794,21.42979
133.023584530199,11.5280010607597,20.06445,17.98123,17.0641,16.69446,16.45894
